0.08333,0.03249,38325.1462,
0.02604,0.15751,185800.59852,
0.02865,0.09303,438979.62601,
0.22103,0.0206,388873.57837,
0.02083,0.02777,32753.44291,
0.03125,0.26448,311993.65247,
0.05208,0.2845,335603.98293,
2.21354,0.04422,52159.88681,
2.30208,0.04434,52310.23015,
0.02041,0.29771,351190.23519,
0.49606,0.0439,51782.09912,
0.01031,0.42535,501764.35559,
0.02041,0.4042,476818.10833,
0.52,0.09685,114251.62228,
0.11597,0.0271,511486.62638,
0.03608,0.03631,685294.02367,
0.66197,0.05823,68699.74377,
0.05882,0.10987,129610.19556,
0.41284,0.12148,143308.06608,
0.0303,0.31124,367168.37846,
0.04,0.31046,366256.4421,
